Breed Name,Easy To Train,Kid-Friendly,High-Energy,Good For Novice Owners
Border Terrier,False,True,True,False
Bordoodle,True,True,False,True
Borzoi,False,False,False,False
BoShih,False,False,False,True
Bossie,True,True,True,False
Boston Boxer,False,True,True,False
Boston Terrier,True,True,True,True
Boston Terrier Pekingese Mix,False,True,False,False
Bouvier des Flandres,True,True,True,False
Boxador,True,True,True,False
Boxer,True,True,True,False
Boxerdoodle,True,False,True,False
Boxmatian,False,False,True,False
Boxweiler,True,True,True,False
Boykin Spaniel,True,True,True,False
Bracco Italiano,False,True,True,False
Braque du Bourbonnais,True,True,True,False
Briard,True,True,True,False
Brittany,False,True,True,False
Broholmer,True,True,False,True
Brussels Griffon,False,True,True,False
Bugg,False,False,True,True
Bull Arab,False,False,True,False
Bull-Pei,False,False,False,False
Bull Terrier,True,True,True,False
Bullador,True,True,True,False
Bullboxer Pit,False,True,True,False
Bulldog,False,True,False,True
Bullmastiff,False,True,False,False
Bullmatian,False,True,True,False
Cairn Terrier,False,True,True,True
Canaan Dog,True,False,True,False
Cane Corso,True,False,True,False
Cardigan Welsh Corgi,True,True,False,True
Carolina Dog,False,False,True,False
Catahoula Bulldog,False,False,True,False
Catahoula Leopard Dog,False,False,True,False
Caucasian Shepherd Dog,False,False,False,False
Cav-a-Jack,True,True,True,True
Cavachon,True,True,True,True
Cavador,True,True,True,True
Cavalier King Charles Spaniel,True,True,False,True
Cavapoo,True,True,False,False
Central Asian Shepherd Dog,False,False,False,False
Cesky Terrier,True,False,False,True
Chabrador,False,True,False,False
Cheagle,False,False,True,True
Chesapeake Bay Retriever,False,False,True,False
Chi Chi,False,False,True,False
Chi-Poo,True,True,False,True
Chigi,True,True,True,True
Chihuahua,True,True,False,True
Chilier,False,True,True,False
Chinese Crested,True,True,False,False
Chinese Shar-Pei,False,False,False,False
Chinook,True,True,False,False
Chion,False,False,True,False
Chipin,True,True,True,True
Chiweenie,False,False,True,False
Chorkie,False,False,True,True
Chow Chow,False,False,False,False
Chow Shepherd,False,False,True,False
Chug,False,True,True,False
Chusky,False,True,True,False
Cirneco dell’Etna,False,True,True,False
Clumber Spaniel,True,False,False,True
Cockalier,True,True,True,True
Cockapoo,True,True,False,True
Cocker Spaniel,True,False,True,False
Collie,True,True,False,True
Corgi Inu,True,False,True,False
Corgidor,True,True,True,False
Corman Shepherd,True,True,True,False
Coton de Tulear,False,True,False,True
Croatian Sheepdog,False,False,True,False
Curly-Coated Retriever,True,True,True,False
Dachsador,False,True,True,False
Dachshund,False,True,False,True
Dalmatian,True,True,True,False
Dandie Dinmont Terrier,False,True,False,True
Daniff,True,True,False,False
Danish-Swedish Farmdog,True,True,True,False
Deutscher Wachtelhund,True,True,True,False
Doberdor,False,False,True,False
Doberman Pinscher,True,False,False,False
Docker,False,False,False,False
Dogo Argentino,False,False,True,False
Dogue de Bordeaux,False,True,False,False
Dorgi,False,True,True,True
Dorkie,False,True,False,True
Doxiepoo,False,False,True,False
Doxle,False,True,True,True
Drentsche Patrijshond,False,True,True,False
Drever,False,True,True,False
Dutch Shepherd,True,True,True,False
English Cocker Spaniel,True,True,True,True
English Foxhound,False,True,True,False
English Setter,False,True,True,False
English Springer Spaniel,True,True,True,False
English Toy Spaniel,False,False,False,True
Entlebucher Mountain Dog,False,True,True,False
Estrela Mountain Dog,True,True,False,False
Eurasier,True,True,False,False
Field Spaniel,True,True,True,False
Fila Brasileiro,False,False,True,False
Finnish Lapphund,True,True,True,True
Finnish Spitz,False,True,True,False
Flat-Coated Retriever,True,True,True,False
Fox Terrier,True,True,True,False
French Bulldog,True,True,False,True
French Bullhuahua,False,False,False,False
French Spaniel,True,True,True,True
Frenchton,True,True,False,True
Frengle,False,True,True,True
German Longhaired Pointer,True,True,True,False
German Pinscher,True,False,True,False
German Shepherd Dog,True,True,True,False
German Shepherd Pit Bull,True,True,True,False
German Shepherd Rottweiler Mix,False,True,True,True
German Sheprador,True,True,True,False
German Shorthaired Pointer,True,True,True,False
German Spitz,False,True,True,False
German Wirehaired Pointer,True,False,True,False
Giant Schnauzer,True,False,True,False
Glen of Imaal Terrier,True,True,True,False
Goberian,False,True,True,False
Goldador,True,True,True,True
Golden Cocker Retriever,True,True,True,True
Golden Mountain Dog,True,True,True,False
Golden Retriever,True,True,True,False
Golden Retriever Corgi,True,True,True,True
Golden Shepherd,True,True,True,False
Goldendoodle,True,True,True,True
Gollie,True,True,True,True
Gordon Setter,True,False,True,False
Great Dane,True,True,True,False
Great Pyrenees,False,True,True,False
Greater Swiss Mountain Dog,False,True,True,False
Greyador,False,True,True,False
Greyhound,True,True,True,False
Hamiltonstovare,False,True,True,False
Hanoverian Scenthound,False,True,True,False
Harrier,False,True,True,False
Havanese,True,True,False,True
Havapoo,True,True,False,True
Hokkaido,False,True,False,False
Horgi,True,True,True,False
Hovawart,False,True,True,False
Huskita,False,False,True,False
Huskydoodle,False,True,True,False
Ibizan Hound,False,True,True,False
Icelandic Sheepdog,False,True,True,False
Irish Red And White Setter,True,True,True,False
Irish Setter,True,True,True,False
Irish Terrier,False,True,True,False
Irish Water Spaniel,True,True,True,False
Irish Wolfhound,False,True,False,False
Italian Greyhound,False,True,True,True
Jack-A-Poo,True,True,True,True
Jack Chi,False,True,True,False
Jack Russell Terrier,True,True,True,False
Jackshund,False,True,True,False
Japanese Chin,False,False,False,True
Japanese Spitz,True,True,False,True
Korean Jindo Dog,False,False,True,False
Kai Ken,False,True,True,False
Karelian Bear Dog,False,False,True,False
Keeshond,True,True,True,True
Kerry Blue Terrier,True,True,True,False
King Shepherd,True,True,False,False
Kishu Ken,True,False,False,False
Komondor,True,False,False,False
Kooikerhondje,False,False,True,False
Kuvasz,False,False,True,False
Kyi-Leo,False,True,True,True
Lab Pointer,True,True,True,True
Labernese,False,True,True,True
Labmaraner,True,True,True,True
Labrabull,True,True,True,False
Labradane,False,True,True,False
Labradoodle,True,True,True,True
Labrador Retriever,True,True,True,False
Labrastaff,False,True,True,False
Labsky,True,True,True,False
Lagotto Romagnolo,True,False,True,True
Lakeland Terrier,False,True,True,False
Lancashire Heeler,False,False,True,False
Leonberger,False,True,True,False
Lhasa Apso,False,True,True,True
Lhasapoo,False,False,True,False
Lowchen,True,True,True,True
Maltese,True,False,False,True
Maltese Shih Tzu,True,False,False,True
Maltipoo,True,True,False,True
Manchester Terrier,False,False,True,False
Maremma Sheepdog,False,True,True,False
Mastador,True,True,True,False
Mastiff,False,True,False,False
Miniature Pinscher,False,False,True,False
Miniature Schnauzer,True,False,True,False
Morkie,False,False,True,False
Mountain Cur,False,True,True,False
Mountain Feist,False,False,True,False
Mudi,True,False,True,True
Neapolitan Mastiff,False,True,False,False
Newfoundland,True,True,False,False
Norfolk Terrier,True,True,True,True
Northern Inuit Dog,False,True,True,False
Norwegian Buhund,True,True,True,False
Norwegian Elkhound,False,True,True,True
Norwegian Lundehund,True,True,True,False
Norwich Terrier,True,True,True,False
Nova Scotia Duck Tolling Retriever,True,True,True,False
Old English Sheepdog,False,True,True,True
Otterhound,False,True,True,True
Papillon,True,False,True,True
Papipoo,True,False,True,True
Patterdale Terrier,False,True,True,False
Peekapoo,False,True,False,True
Pekingese,False,False,False,True
Pembroke Welsh Corgi,True,True,True,True
Petit Basset Griffon Vendéen,False,True,True,False
Pharaoh Hound,False,True,False,True
Pitsky,False,True,True,False
Plott,True,False,True,False
Pocket Beagle,False,True,True,False
Pointer,True,True,True,False
Polish Lowland Sheepdog,True,True,True,False
Pomapoo,True,False,False,True
Pomchi,False,False,False,False
Pomeagle,False,False,True,True
Pomeranian,True,False,False,True
Pomsky,False,False,True,False
Poochon,True,True,True,True
Poodle,True,True,True,True
Portuguese Podengo Pequeno,True,True,True,True
Portuguese Pointer,True,True,True,False
Portuguese Sheepdog,False,True,True,False
Portuguese Water Dog,True,True,True,False
Pudelpointer,True,False,True,False
Pug,False,True,False,True
Pugalier,True,True,False,True
Puggle,False,True,False,True
Puginese,False,False,False,False
Puli,False,True,True,False
Pyredoodle,False,True,True,True
Pyrenean Mastiff,False,True,True,False
Pyrenean Shepherd,False,True,True,False
Rat Terrier,True,True,True,False
Redbone Coonhound,False,True,True,False
Rhodesian Ridgeback,False,True,True,False
Rottador,True,True,True,False
Rottle,True,True,True,False
Rottweiler,True,True,True,False
Saint Berdoodle,True,True,False,True
Saint Bernard,False,True,False,False
Saluki,True,True,True,False
Samoyed,False,True,True,False
Samusky,False,True,True,False
Schipperke,False,True,True,False
Schnoodle,True,True,True,True
Scottish Deerhound,False,True,True,False
Scottish Terrier,False,True,True,False
Sealyham Terrier,False,True,True,True
Sheepadoodle,False,True,True,True
Shepsky,True,True,True,False
Shetland Sheepdog,True,True,True,False
Shiba Inu,False,False,True,True
Shichon,False,True,True,True
Shih-Poo,False,False,False,False
Shih Tzu,False,True,False,True
Shikoku,False,False,False,False
Shiloh Shepherd,True,True,True,False
Shiranian,False,False,False,True
Shollie,True,True,True,False
Shorkie,False,False,True,False
Siberian Husky,False,True,True,False
Silken Windhound,True,True,True,True
Silky Terrier,True,False,True,False
Skye Terrier,False,True,False,True
Sloughi,False,True,True,False
Small Munsterlander Pointer,True,True,True,False
Soft Coated Wheaten Terrier,True,True,True,True
Spanish Mastiff,False,True,False,False
Spinone Italiano,True,True,True,True
Springador,True,False,True,False
Stabyhoun,True,True,False,False
Staffordshire Bull Terrier,False,True,False,False
Staffy Bull Bullmastiff,False,True,False,False
Standard Schnauzer,False,True,True,False
Sussex Spaniel,False,True,False,True
Swedish Lapphund,True,True,False,False
Swedish Vallhund,True,True,True,False
Taiwan Dog,True,False,True,False
Terripoo,True,True,True,True
Texas Heeler,False,False,True,False
Thai Ridgeback,False,False,True,False
Tibetan Mastiff,False,True,True,False
Tibetan Spaniel,True,True,False,True
Tibetan Terrier,True,True,True,False
Toy Fox Terrier,False,True,True,False
Transylvanian Hound,False,False,True,False
Treeing Tennessee Brindle,False,True,True,False
Treeing Walker Coonhound,False,True,True,False
Valley Bulldog,False,True,True,False
Vizsla,True,True,True,False
Weimaraner,True,True,True,False
Welsh Springer Spaniel,True,True,True,True
Welsh Terrier,False,True,True,False
West Highland White Terrier,True,True,True,True
Westiepoo,True,True,True,True
Whippet,True,True,True,False
Whoodle,False,True,True,False
Wirehaired Pointing Griffon,True,True,True,False
Xoloitzcuintli,False,False,False,False
Yakutian Laika,True,True,True,False
Yorkipoo,True,True,True,True
Yorkshire Terrier,False,False,True,True
